id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,57,1,2,119637,38332,27.9,a,,,630,34,0.0,0.04,0.04
2,Arrizabalaga,1,1,43,0,-2,279,2319,0.5,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,1410,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,541,1069,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,63,1,3,236333,48355,29.7,a,75.0,,630,47,0.48,0.09,0.57
6,Saliba,1,2,60,0,0,30804,27693,12.7,a,100.0,,409,25,0.13,0.12,0.25
7,Calafiori,1,2,57,0,2,43559,39400,14.8,a,,,524,42,1.84,0.15,1.99
8,J.Timber,1,2,59,1,4,259405,18719,17.8,a,,,521,48,1.89,0.41,2.3
9,Kiwior,1,2,54,0,-1,0,196,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,52,-1,-3,2014,10347,1.8,a,,,83,4,0.0,0.0,0.0
11,White,1,2,54,0,-1,1094,2399,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,39,0,-1,2005,2335,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,1038,0.2,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,366,1149,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,99,1,-1,208161,15149,9.8,a,100.0,,346,20,1.22,1.45,2.67
17,Ødegaard,1,3,79,0,-1,3262,16144,1.9,d,100.0,Knee injury - 75% chance of playing,201,13,0.14,0.81,0.95
18,Madueke,1,3,69,0,-1,63,9854,0.7,i,0.0,Knee injury - Unknown return date,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,6890,9308,1.2,a,,,181,14,0.23,0.08,0.31
20,Trossard,1,3,69,0,-1,1719,1581,0.3,a,100.0,,292,12,0.66,0.57,1.23
21,Rice,1,3,65,0,0,56206,41980,8.6,d,,Back injury - 75% chance of playing,542,40,0.47,1.16,1.63
22,Merino,1,3,59,0,-1,4344,7039,0.6,a,,,242,15,0.34,0.12,0.46
23,Fábio Vieira,1,3,54,0,-1,0,102,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,53,0,-2,252,984,0.2,a,100.0,,0,0,0.0,0.0,0.0
25,Nwaneri,1,3,53,0,-2,396,1282,0.2,a,,,145,6,0.19,0.08,0.27
26,Zubimendi,1,3,55,0,0,23698,38771,4.4,a,,,591,32,0.26,0.8,1.06
28,Kabia,1,3,45,0,0,0,814,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,378,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,79,991,0.4,i,0.0,Knee injury - Unknown return date,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,70,166,0.0,i,0.0,Knee injury - Expected back 30 Dec,0,0,0.0,0.0,0.0
