id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,0,17046,1659,41.5,a,,,360,29,0.0,0.01,0.01
2,Arrizabalaga,1,1,49,0,-1,11,14,0.1,a,,,0,0,0.0,0.0,0.0
3,Meslier,1,1,49,0,-1,4,11,0.0,a,,,0,0,0.0,0.0,0.0
4,Gabriel,1,2,80,0,0,1565,6760,23.1,a,,,360,24,0.51,0.06,0.57
5,J.Timber,1,2,65,0,0,939,168,0.3,a,100.0,,45,1,0.0,0.01,0.01
6,Saliba,1,2,59,0,-1,24,106,0.2,i,0.0,Back injury - Unknown return date,0,0,0.0,0.0,0.0
7,Lewis-Skelly,1,3,55,0,0,89,326,0.6,a,,,271,9,0.16,0.23,0.39
8,Calafiori,1,2,58,0,3,7076,2289,50.7,a,,,326,28,0.6,0.59,1.19
9,Hincapie,1,2,53,0,-2,106,366,0.9,a,,,32,2,0.0,0.0,0.0
10,White,1,2,55,0,0,724,5439,5.5,a,100.0,,315,21,0.18,0.29,0.47
11,Mosquera,1,2,53,0,-2,104,820,1.7,a,100.0,,168,12,0.0,0.01,0.01
12,Saka,1,3,95,0,0,11448,1870,13.2,a,,,336,30,2.88,0.43,3.31
13,Rice,1,3,74,0,-1,1046,2134,12.4,a,,,321,19,0.1,0.63,0.73
14,Eze,1,3,63,0,-2,180,451,1.0,a,,,68,3,0.04,0.07,0.11
15,Ødegaard,1,3,68,0,3,8757,3507,20.1,a,,,305,27,1.01,1.3,2.31
16,Madueke,1,3,62,0,-3,92,105,0.2,a,,,23,2,0.0,0.05,0.05
17,Merino,1,3,58,0,-2,70,183,0.4,a,,,51,3,0.14,0.02,0.16
18,Martinelli,1,3,63,0,-2,0,61,0.1,u,0.0,Has joined Al Hilal permanently,0,0,0.0,0.0,0.0
