id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,57,1,2,111070,33481,27.8,a,,,630,34,0.0,0.04,0.04
2,Arrizabalaga,1,1,43,0,-2,247,2070,0.5,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,1274,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,471,957,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,63,1,3,214448,46120,29.5,a,75.0,,630,47,0.48,0.09,0.57
6,Saliba,1,2,60,0,0,29057,24709,12.7,a,100.0,,409,25,0.13,0.12,0.25
7,Calafiori,1,2,57,0,2,40257,34923,14.8,a,,,524,42,1.84,0.15,1.99
8,J.Timber,1,2,59,1,4,235226,16409,17.6,a,,,521,48,1.89,0.41,2.3
9,Kiwior,1,2,54,0,-1,0,175,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,52,-1,-3,1806,9336,1.9,a,,,83,4,0.0,0.0,0.0
11,White,1,2,54,0,-1,959,2145,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,39,0,-1,1801,2087,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,915,0.2,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,325,1038,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,99,1,-1,187069,13075,9.7,a,100.0,,346,20,1.22,1.45,2.67
17,Ødegaard,1,3,79,0,-1,3194,14347,1.9,d,100.0,Knee injury - 75% chance of playing,201,13,0.14,0.81,0.95
18,Madueke,1,3,69,0,-1,56,8988,0.8,i,0.0,Knee injury - Unknown return date,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,6319,8370,1.2,a,,,181,14,0.23,0.08,0.31
20,Trossard,1,3,69,0,-1,1549,1387,0.3,a,100.0,,292,12,0.66,0.57,1.23
21,Rice,1,3,65,0,0,52356,36121,8.6,d,,Back injury - 75% chance of playing,542,40,0.47,1.16,1.63
22,Merino,1,3,59,0,-1,3980,6441,0.6,a,,,242,15,0.34,0.12,0.46
23,Fábio Vieira,1,3,54,0,-1,0,86,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,53,0,-2,223,869,0.2,a,100.0,,0,0,0.0,0.0,0.0
25,Nwaneri,1,3,53,0,-2,352,1161,0.2,a,,,145,6,0.19,0.08,0.27
26,Zubimendi,1,3,55,0,0,21296,35591,4.4,a,,,591,32,0.26,0.8,1.06
28,Kabia,1,3,45,0,0,0,725,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,345,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,71,854,0.4,i,0.0,Knee injury - Unknown return date,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,60,145,0.0,i,0.0,Knee injury - Expected back 30 Dec,0,0,0.0,0.0,0.0
266,Eze,1,3,76,0,1,62339,43526,13.4,a,,,394,22,1.35,0.84,2.19
662,Mosquera,1,2,54,0,-1,808,2223,0.2,a,,,247,12,0.0,0.04,0.04
666,Gyökeres,1,4,91,1,1,65521,186494,26.7,a,,,576,26,3.01,0.45,3.46
700,Dowman,1,3,45,0,0,754,3677,0.3,a,,,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,44,79,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,54,0,-1,23,243,0.0,d,0.0,Groin Injury - 75% chance of playing,0,0,0.0,0.0,0.0
32,Martinez,2,1,50,0,0,2179,15036,2.1,a,75.0,,450,15,0.0,0.03,0.03
33,M.Bizot,2,1,44,0,-1,472,2437,0.6,a,,,180,7,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,429,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,35,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,46,0,1,9999,21078,5.4,a,,,606,29,0.08,0.57,0.65
37,Digne,2,2,45,0,0,2356,6532,1.9,a,,,487,21,0.21,1.13,1.34
