id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,59,-1,4,20924,31544,33.6,a,,,1890,86,0.0,0.04,0.04
2,Arrizabalaga,1,1,41,0,-4,94,307,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,135,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,338,476,0.3,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,67,1,7,202517,2168,30.5,a,100.0,,1265,112,1.56,0.76,2.32
6,Saliba,1,2,59,0,-1,20315,10028,11.7,a,100.0,,1354,61,0.29,0.44,0.73
7,Calafiori,1,2,56,0,1,110,27573,6.9,i,0.0,Muscle injury - Unknown return date,1256,77,2.49,0.36,2.85
8,J.Timber,1,2,63,0,8,39803,35908,27.2,a,100.0,,1639,104,4.06,0.85,4.91
9,Kiwior,1,2,54,0,-1,0,10,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,456,1396,1.5,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,258,1151,0.5,a,100.0,,287,23,0.37,0.43,0.8
13,Clarke,1,2,38,0,-2,204,639,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,42,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,38,0,-2,38,152,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,102,0,2,19736,36786,20.3,a,100.0,,1420,98,5.38,4.3,9.68
17,Ødegaard,1,3,78,0,-2,7916,4088,2.5,a,100.0,,870,48,0.87,2.13,3.0
18,Madueke,1,3,68,0,-2,441,919,0.7,a,100.0,,505,20,0.54,1.39,1.93
19,Martinelli,1,3,68,0,-2,521,813,0.8,a,100.0,,500,28,1.99,0.18,2.17
20,Trossard,1,3,69,-1,-1,4944,9730,1.8,a,100.0,,1128,80,4.17,2.04,6.21
21,Rice,1,3,73,1,8,159359,7187,26.0,a,100.0,,1695,122,2.66,3.78,6.44
22,Merino,1,3,57,0,-3,838,14329,1.8,a,,,931,58,2.29,0.93,3.22
23,Fábio Vieira,1,3,54,0,-1,0,2,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,69,105,0.1,a,100.0,,31,3,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,69,107,0.1,a,,,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,52,0,-3,1842,3775,2.2,a,100.0,,1770,77,1.87,1.45,3.32
28,Kabia,1,3,45,0,0,0,30,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,13,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,352,185,0.3,a,100.0,,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,1379,1864,0.3,a,100.0,,116,9,0.47,0.03,0.5
266,Eze,1,3,73,-1,-2,1225,30403,9.4,a,,,1003,67,2.54,1.41,3.95
662,Mosquera,1,2,53,0,-2,2,83,0.1,i,0.0,Ankle injury - Unknown return date,429,17,0.0,0.43,0.43
666,Gyökeres,1,4,88,0,-2,4415,8492,9.4,a,100.0,,1289,54,6.27,0.88,7.15
700,Dowman,1,3,43,0,-2,243,980,0.3,i,0.0,Ankle injury - Unknown return date,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,12,7,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,53,0,-2,1697,8250,1.5,a,100.0,,889,35,0.0,0.74,0.74
759,Salmon,1,2,40,0,0,24,34,0.0,a,,,0,0,0.0,0.0,0.0
32,Martinez,2,1,50,0,0,7477,7775,3.6,a,100.0,,1485,64,0.0,0.03,0.03
33,M.Bizot,2,1,42,0,-3,278,297,0.4,a,,,405,11,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,72,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,3,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,48,0,3,37093,7447,10.6,a,100.0,,1771,87,0.7,1.76,2.46
37,Digne,2,2,45,0,0,3606,1693,1.6,a,100.0,,1192,64,0.49,1.75,2.24
38,Konsa,2,2,44,0,-1,6191,4516,7.4,a,100.0,,1775,62,0.36,0.38,0.74
39,Maatsen,2,2,42,0,-3,627,769,0.5,a,,,688,18,0.66,0.79,1.45
40,Mings,2,2,43,0,-2,31,259,0.5,d,50.0,Hamstring injury - 50% chance of playing,497,24,0.33,0.09,0.42
41,Pau,2,2,43,0,-2,122,523,0.3,a,50.0,,952,39,0.22,0.22,0.44
42,A.García,2,2,39,0,-1,141,212,0.2,a,100.0,,30,1,0.0,0.01,0.01
