id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,5,40936,17250,34.4,a,,,2970,131,0.0,0.06,0.06
2,Arrizabalaga,1,1,40,0,-5,153,124,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,31,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,29,101,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,71,0,11,62844,16245,43.3,a,100.0,,2345,177,2.0,1.67,3.67
6,Saliba,1,2,61,0,1,36143,7173,14.1,a,100.0,,2254,111,0.88,0.72,1.6
7,Calafiori,1,2,56,0,1,161,4939,5.9,d,75.0,Knock - 75% chance of playing,1446,93,2.92,0.49,3.41
8,J.Timber,1,2,62,0,7,2863,88019,20.9,d,75.0,Ankle injury - 75% chance of playing,2452,149,4.71,1.53,6.24
9,Kiwior,1,2,54,0,-1,0,2,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,50,0,-5,317,355,1.4,a,,,401,13,0.1,0.08,0.18
11,White,1,2,51,0,-4,952,298,0.5,a,100.0,,500,32,0.45,0.51,0.96
13,Clarke,1,2,37,0,-3,681,314,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,12,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,0,-3,163,316,0.3,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,178,20077,7.0,i,0.0,Achilles injury - Unknown return date,1995,133,6.99,5.75,12.74
17,Ødegaard,1,3,78,0,-2,3150,450,1.6,a,75.0,,1160,64,1.01,3.26,4.27
18,Madueke,1,3,68,0,-2,1000,1116,0.8,a,75.0,,987,56,1.03,2.14,3.17
19,Martinelli,1,3,68,0,-2,750,565,0.9,a,100.0,,937,49,3.87,1.02,4.89
20,Trossard,1,3,65,0,-5,1374,971,0.8,a,100.0,,1727,101,4.96,2.8,7.76
21,Rice,1,3,72,0,7,53373,30075,24.5,a,100.0,,2760,169,3.15,6.83,9.98
22,Merino,1,3,54,0,-6,4,472,0.8,i,0.0,Foot injury - Unknown return date,996,66,2.99,1.45,4.44
23,Fábio Vieira,1,3,54,0,-1,0,0,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,40,42,0.1,a,100.0,,56,6,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,0,15,0.1,u,0.0,has joined Marseille on loan for the rest of the season.,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,50,0,-5,4436,5642,3.1,a,100.0,,2755,123,2.77,2.2,4.97
28,Kabia,1,3,45,0,0,0,6,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,10,0.0,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,16424,776,0.7,a,100.0,,404,19,2.52,0.1,2.62
31,G.Jesus,1,4,64,0,-1,407,610,0.3,a,100.0,,318,18,1.83,0.23,2.06
266,Eze,1,3,72,0,-3,11303,3258,7.8,a,100.0,,1603,97,3.96,2.51,6.47
662,Mosquera,1,2,53,0,-2,984,196,0.2,a,100.0,,754,29,0.1,0.51,0.61
666,Gyökeres,1,4,88,0,-2,53477,14160,12.1,a,100.0,,1984,107,10.25,1.77,12.01
700,Dowman,1,3,42,0,-3,3797,2574,0.8,a,100.0,,79,12,1.11,0.14,1.25
711,Harriman-Annous,1,3,44,0,-1,7,7,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,51,0,-4,4948,1244,0.7,a,100.0,,1589,75,0.33,1.4,1.73
759,Salmon,1,2,40,0,0,15,20,0.0,a,,,0,0,0.0,0.0,0.0
32,Martinez,2,1,51,0,1,17216,5082,4.7,a,100.0,,2475,107,0.0,0.07,0.07
33,M.Bizot,2,1,42,0,-3,229,180,0.4,a,100.0,,495,14,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,27,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,2,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,47,0,2,20474,8465,8.3,a,100.0,,2622,108,1.13,2.72,3.85
37,Digne,2,2,45,0,0,5391,1372,1.6,a,100.0,,1646,90,0.61,3.09,3.7
38,Konsa,2,2,44,0,-1,6550,5194,7.8,a,100.0,,2765,96,1.27,0.56,1.83
39,Maatsen,2,2,42,0,-3,1184,461,0.6,a,,,1332,46,1.2,2.24,3.44
40,Mings,2,2,43,0,-2,528,380,0.7,a,100.0,,1052,45,1.08,0.39,1.47
41,Pau,2,2,43,0,-2,386,230,0.3,a,100.0,,1476,58,0.63,0.37,1.0
42,A.García,2,2,39,0,-1,144,128,0.2,a,100.0,,38,4,0.0,0.01,0.01
43,Alex Moreno,2,2,40,0,0,0,297,1.6,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
