id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,59,0,4,6475,905,33.8,a,,,2160,99,0.0,0.05,0.05
2,Arrizabalaga,1,1,41,0,-4,14,30,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,11,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,4,29,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,71,0,11,6929,310,40.9,a,100.0,,1535,129,1.72,0.83,2.55
6,Saliba,1,2,60,0,0,5010,394,13.1,a,100.0,,1624,76,0.38,0.57,0.95
7,Calafiori,1,2,56,0,1,592,242,6.2,a,100.0,,1271,78,2.74,0.37,3.11
8,J.Timber,1,2,64,0,9,7746,1116,29.3,a,100.0,,1909,115,4.3,1.09,5.39
9,Kiwior,1,2,54,0,-1,0,2,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,33,69,1.4,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,75,100,0.6,a,100.0,,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,17,29,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,2,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,-1,-3,12,12,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,99,0,-1,88,9109,10.0,d,50.0,Hip injury - 50% chance of playing,1543,101,5.58,5.11,10.69
17,Ødegaard,1,3,78,0,-2,33,1507,2.0,d,50.0,Muscle injury - 50% chance of playing,1012,57,0.97,2.83,3.8
18,Madueke,1,3,68,0,-2,2504,94,1.1,a,100.0,,636,36,0.61,1.88,2.49
19,Martinelli,1,3,68,0,-2,285,51,0.9,a,100.0,,574,33,2.68,0.52,3.2
20,Trossard,1,3,68,0,-2,1850,310,1.5,a,100.0,,1327,86,4.26,2.21,6.47
21,Rice,1,3,75,0,10,12691,1534,33.6,a,100.0,,1965,129,2.89,5.09,7.98
22,Merino,1,3,55,0,-5,1,1041,1.2,i,0.0,Foot injury - Unknown return date,996,66,2.99,1.45,4.44
23,Fábio Vieira,1,3,54,0,-1,0,0,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,9,7,0.1,a,100.0,,31,3,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,0,14,0.1,u,0.0,has joined Marseille on loan for the rest of the season.,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,52,0,-3,4011,170,2.6,a,100.0,,1995,91,2.53,1.48,4.01
28,Kabia,1,3,45,0,0,0,1,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,1,0.0,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,1149,67,0.5,a,100.0,,90,3,0.0,0.02,0.02
31,G.Jesus,1,4,64,0,-1,1007,170,0.6,a,100.0,,220,16,1.74,0.15,1.89
266,Eze,1,3,72,0,-3,788,689,7.9,a,,,1055,69,2.54,1.67,4.21
662,Mosquera,1,2,53,0,-2,19,10,0.1,a,100.0,,429,17,0.0,0.43,0.43
666,Gyökeres,1,4,87,0,-3,3354,331,9.7,a,100.0,,1452,63,6.96,0.91,7.87
700,Dowman,1,3,42,0,-3,112,100,0.4,i,0.0,Ankle injury - Unknown return date,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,44,0,-1,3,0,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,51,0,-4,429,78,0.7,a,100.0,,1020,41,0.0,0.76,0.76
759,Salmon,1,2,40,0,0,8,2,0.0,a,,,0,0,0.0,0.0,0.0
32,Martinez,2,1,50,0,0,602,330,3.4,a,100.0,,1755,78,0.0,0.04,0.04
33,M.Bizot,2,1,42,0,-3,6,15,0.4,a,,,405,11,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,3,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,0,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,49,1,4,1189,1071,11.8,a,100.0,,2041,97,0.98,2.25,3.23
37,Digne,2,2,45,0,0,79,129,1.6,a,100.0,,1224,68,0.54,2.19,2.73
38,Konsa,2,2,44,0,-1,456,389,7.6,a,100.0,,2045,72,0.73,0.49,1.22
39,Maatsen,2,2,42,0,-3,86,21,0.6,a,,,940,27,0.83,1.63,2.46
40,Mings,2,2,43,0,-2,23,16,0.6,a,100.0,,512,25,0.33,0.09,0.42
41,Pau,2,2,43,0,-2,44,26,0.3,a,100.0,,1206,49,0.59,0.33,0.92
42,A.García,2,2,39,0,-1,2,27,0.2,i,0.0,Hamstring injury - Expected back 21 Feb,30,1,0.0,0.01,0.01
43,Alex Moreno,2,2,40,0,0,0,44,1.6,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
44,Bogarde,2,2,40,0,0,35,23,0.5,a,100.0,,565,24,0.0,0.14,0.14
45,Sousa,2,2,38,0,-2,39,43,0.3,u,,has joined Rotherham on loan for the rest of the season.,0,0,0.0,0.0,0.0
46,Yasin,2,2,40,0,0,0,2,0.1,u,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0.0,0.0,0.0
47,Rogers,2,3,76,0,6,1859,6279,29.9,a,100.0,,2137,113,4.54,2.79,7.33
48,Tielemans,2,3,59,0,-1,3,366,0.8,i,0.0,Ankle injury - Expected back 11 Apr,1295,52,0.97,2.53,3.5
49,Bailey,2,3,55,0,0,24,4,0.1,a,100.0,,76,2,0.15,0.31,0.46
50,Buendía,2,3,53,0,-2,257,124,0.6,a,100.0,,1026,73,2.51,1.34,3.85
51,Iling Jr,2,3,55,0,0,0,0,0.0,u,0.0,has joined Pisa on loan for the rest of the season.,0,0,0.0,0.0,0.0
53,Malen,2,3,51,0,-4,0,69,0.4,u,0.0,has joined Roma on loan for the rest of the season.,640,55,4.03,0.35,4.38
54,McGinn,2,3,54,0,-1,2,292,0.6,i,0.0,Knee injury - Expected back 21 Mar,1591,71,2.52,1.96,4.48
55,Barkley,2,3,48,0,-2,9,3,0.0,a,100.0,,114,15,0.43,0.16,0.59
56,Barrenechea,2,3,50,0,0,0,0,0.0,u,0.0,Season-long loan to Benfica,0,0,0.0,0.0,0.0
57,Dobbin,2,3,50,0,0,0,0,0.0,u,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0.0,0.0,0.0
58,Kamara,2,3,49,0,-1,0,83,0.2,i,0.0,Knee injury - Expected back 01 Jun,1410,61,0.53,0.84,1.36
59,Onana,2,3,48,0,-2,126,41,0.6,a,100.0,,974,51,0.43,0.22,0.65
60,Broggio,2,3,44,0,-1,7,30,0.3,u,,has joined Falkirk on loan for the rest of the season.,0,0,0.0,0.0,0.0
61,Dendoncker,2,3,45,0,0,0,1,0.1,u,0.0,Has joined Real Oviedo permanently.,0,0,0.0,0.0,0.0
62,Jimoh-Aloba,2,3,45,0,0,6,6,0.1,u,,has joined West Brom on loan for the rest of the season.,8,1,0.0,0.0,0.0
63,Young,2,3,43,0,-2,79,94,0.6,u,,has joined Reading on loan for the rest of the season.,0,0,0.0,0.0,0.0
64,Watkins,2,4,87,0,-3,808,1910,9.6,a,100.0,,1741,91,9.4,0.91,10.31
65,Redmond,2,4,45,0,0,0,4,0.3,u,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
389,Elliott,2,3,51,0,-4,24,11,0.2,a,100.0,,110,5,0.29,0.08,0.37
456,Sancho,2,3,58,0,-2,51,24,0.2,a,100.0,,436,17,0.4,0.79,1.19
688,Wright,2,1,39,0,-1,9,16,0.6,a,,,0,0,0.0,0.0,0.0
699,Douglas Luiz,2,3,49,0,-1,75,8,0.1,a,100.0,,404,13,0.23,0.83,1.06
701,Rowe,2,2,40,0,0,0,2,0.1,u,0.0,has joined Annecy on loan for the rest of the season.,0,0,0.0,0.0,0.0
702,Burrowes,2,3,44,0,-1,3,2,0.1,a,,,16,1,0.0,0.0,0.0
703,Proctor,2,1,39,0,-1,34,38,0.6,a,,,0,0,0.0,0.0,0.0
710,Patterson,2,2,39,0,-1,2,10,0.2,a,,,0,0,0.0,0.0,0.0
719,Lindelöf,2,2,45,0,0,19,24,0.1,a,100.0,,566,21,0.03,0.07,0.1
754,George Hemmings,2,3,45,0,0,3,3,0.0,a,,,25,2,0.04,0.01,0.05
757,Hollingshead,2,1,40,0,0,2,0,0.0,a,,,0,0,0.0,0.0,0.0
768,Leon Routh,2,2,40,0,0,0,4,0.0,a,,,0,0,0.0,0.0,0.0
781,Carroll,2,2,40,0,0,3,5,0.0,a,,,0,0,0.0,0.0,0.0
792,Alysson,2,3,50,0,0,0,0,0.0,i,0.0,Knock - Unknown return date,0,0,0.0,0.0,0.0
808,Abraham,2,4,60,0,0,354,90,0.3,a,,,90,2,0.64,0.08,0.72
183,Weiss,3,1,43,0,-2,9,7,0.1,a,,,0,0,0.0,0.0,0.0
184,Green,3,1,40,0,0,0,6,0.2,u,0.0,has joined FC Fredericia permanently.,0,0,0.0,0.0,0.0
185,Hladký,3,1,39,0,-1,5,10,0.2,a,,,0,0,0.0,0.0,0.0
186,Roberts,3,2,44,0,-1,0,0,0.0,i,0.0,Achilles injury - Unknown return date,0,0,0.0,0.0,0.0
187,Walker,3,2,44,0,-1,37,49,1.2,a,100.0,,2056,49,0.12,0.94,1.06
188,Delcroix,3,2,38,0,-2,0,15,0.2,u,0.0,has joined Lugano permanently.,0,0,0.0,0.0,0.0
189,Dodgson,3,2,40,0,0,0,1,0.0,u,0.0,Has joined Stockport County on loan for the rest of the season.,0,0,0.0,0.0,0.0
190,Ekdal,3,2,39,0,-1,8,57,0.8,a,,,1179,44,0.21,0.24,0.45
191,Estève,3,2,39,0,-1,144,330,8.1,a,100.0,,1789,53,0.42,0.5,0.92
192,Hartman,3,2,40,0,0,15,64,0.7,a,,,1337,46,0.19,1.51,1.7
193,Humphreys,3,2,39,0,-1,11,12,0.1,a,100.0,,617,26,0.16,0.11,0.27
194,Jordan,3,2,39,0,-1,0,3,0.1,i,0.0,Hamstring injury - Unknown return date,0,0,0.0,0.0,0.0
195,Lucas Pires,3,2,38,0,-2,54,31,0.3,a,100.0,,771,15,0.31,0.73,1.04
196,Sambo,3,2,40,0,0,0,0,0.0,u,0.0,has joined Sparta Rotterdam on loan for the rest of the season.,0,0,0.0,0.0,0.0
197,Sonne,3,2,38,0,-2,0,72,0.2,u,0.0,has joined Sparta Prague on loan for the rest of the season.,164,13,0.55,0.08,0.63
198,Tuanzebe,3,2,39,0,-1,19,25,1.0,a,100.0,,931,27,0.61,0.11,0.72
199,Worrall,3,2,38,0,-2,7,4,0.1,a,100.0,,154,7,0.0,0.02,0.02
